epoch,train_loss,val_loss,train_acc,val_acc
1,2.331964485216065,2.299738721183218,0.1013410134101341,0.1006179876402472
2,2.3143058758315855,2.2947296327224853,0.1025410254102541,0.12095758084838303
3,2.3014294992159705,2.2260471163209714,0.11025110251102511,0.18359632807343854
4,2.2180983951424866,2.115835982421282,0.15927159271592717,0.19061618767624647
5,2.1462569343687172,2.079330732621149,0.17424174241742418,0.19619607607847844
6,2.112880514073829,2.0358802718650444,0.1852518525185252,0.20549589008219835
7,2.084078294482057,2.0046149056252616,0.1945519455194552,0.2144357112857743
8,2.064820741421926,2.0083942677540265,0.1968019680196802,0.21623567528649426
9,2.0419752846648795,1.951532399253138,0.2042720427204272,0.23915521689566208
10,2.0259316843756854,1.9474756411487029,0.20976209762097622,0.23921521569568607
11,2.008226720870419,1.9204150834337896,0.2121321213212132,0.25217495650086996
12,1.9937406629739707,1.9108848974243697,0.21810218102181023,0.253914921701566
13,1.9797325743895904,1.8942305495130027,0.22515225152251522,0.2660946781064379
14,1.962206583367399,1.8879745304745432,0.22254222542225421,0.2650146997060059
15,1.9559290519059804,1.8784621834375865,0.22926229262292622,0.2636947261054779
16,1.9448240712699447,1.8606577257435717,0.23439234392343924,0.27269454610907784
17,1.9342318040768929,1.8837179432620796,0.24126241262412623,0.2632147357052859
18,1.9207828838368244,1.8399796333625977,0.24249242492424924,0.27887442251154976
19,1.9148335190126613,1.8396946105601126,0.24285242852428524,0.2783344333113338
20,1.9040202147152487,1.8426088447253806,0.24960249602496026,0.2755744885102298
