epoch,train_loss,val_loss,train_acc,val_acc
1,1.8633632738325332,1.7537683670043944,0.28104444444444443,0.3494
2,1.582191244400872,1.4116938270568848,0.39968888888888887,0.4692
3,1.4439839829762777,1.2641203287124634,0.46126666666666666,0.5338
4,1.3456312263276842,1.294662740135193,0.5010222222222223,0.5326
5,1.2638193967607285,1.1187538177490235,0.5380444444444444,0.5886
6,1.1977483032226564,1.1747772932052611,0.5640888888888889,0.5694
7,1.149981445842319,0.9960117847442627,0.583,0.6478
8,1.1058356858889262,0.997610244178772,0.5975777777777778,0.6422
9,1.0588647550370958,0.9556129179000854,0.6199333333333333,0.6552
10,1.0298664971457587,0.9873366899490357,0.6293333333333333,0.6532
11,0.996727675289578,0.8760319677352906,0.6424444444444445,0.6866
12,0.9630970558378431,0.8506627223968506,0.6569555555555555,0.6984
13,0.9353728131400214,0.8436012712478638,0.6664222222222222,0.696
14,0.9043855685763889,0.8503292083740235,0.6771555555555555,0.6956
15,0.8865811981307136,0.7864688795089722,0.6836222222222222,0.7226
16,0.8605482271406386,0.7542353942871094,0.6937333333333333,0.7278
17,0.8462668858422173,0.7387361577987671,0.7004222222222222,0.74
18,0.8233352246072557,0.7203352793693543,0.709,0.7444
19,0.7999372321870591,0.7386331774711609,0.7192888888888889,0.7408
20,0.7826590072631836,0.6986556632041931,0.7250222222222222,0.7626
